Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,OB Trans,-0.33835099376206057,4.959253064969966,3.2983643113515724,1.0924039942620525,0.4464657902833119,0.5480680094002113,,,OB Trans,-3.188860777832699,-4.345222804284811,-4.577294027836054,1.0247664826996776,0.738425714980675,0.8093250753663968,,,OB Trans,-0.363810911133044,-0.6813438976105106,-3.4867497485804946,1.0317353341461624,0.6892553150964589,0.7693187668513259,,,
,,,,Total,-9.834813880640853,-12.08123667958442,-7.994306801509722,1.04864741585544,1.060430729356911,1.0391866848232099,,,Total,-73.49821782370061,-69.41062725755876,-59.389658300226685,1.4260722231181606,1.3930623127519424,1.31825491427359,,,Total,-45.64936345199629,-43.8640939728268,-62.64712453174958,1.3098009246612565,1.2941216179344133,1.4805964142080494,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-240.9989275340656,-232.20093528566463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,File HC vs Human Capital Metrics HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ECR,,,HCM,,,,,,RKD,,,HCM,,,,,,MSQ,,,HCM,,,,,,,
,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,
,,,,Shipping,161,198,-37,,,,,,Shipping,129,150,-21,,,,,,Shipping,84,79,5,,,,,,
,,,,Ecomm,10,13,-3,,,,,,Ecomm,5,3,2,,,,,,Ecomm,5,5,0,,,,,,
,,,,CR-R,78,91,-13,,,,,,CR-R,59,64,-5,,,,,,CR-R,40,36,4,,,,,,
,,,,UPH-R,27,27,0,,,,,,UPH-R,31,27,4,,,,,,UPH-R,24,20,4,,,,,,
,,,,UPH-LC,66,76,-10,,,,,,UPH-LC,34,38,-4,,,,,,UPH-LC,11,13,-2,,,,,,
,,,,DOM-LC,0,0,0,,,,,,DOM-LC,13,15,-2,,,,,,DOM-LC,0,0,0,,,,,,
,,,,OB Trans,12,16,-4,,,,,,OB Trans,22,19,3,,,,,,OB Trans,3,3,0,,,,,,
,,,,Total,354,421,-67,,,,,,Total,293,316,-23,,,,,,Total,167,156,11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV,,,HCM,,,,,,LPT,,,HCM,,,,,,RED,,,HCM,,,,,,,
,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,
,,,,Shipping,124,139,-15,,,,,,Shipping,115,125,-10,,,,,,Shipping,120,147,-27,16,,,,,
,,,,Ecomm,13,11,2,,,,,,Ecomm,16,17,-1,,,,,,Ecomm,5,10,-5,0,,,,,
,,,,CR-R,60,56,4,,,,,,CR-R,88,95,-7,,,,,,CR-R,62,69,-7,3,,,,,
,,,,UPH-R,23,20,3,,,,,,UPH-R,14,19,-5,,,,,,UPH-R,62,55,7,3,,,,,
,,,,UPH-LC,24,33,-9,,,,,,UPH-LC,29,27,2,,,,,,UPH-LC,0,0,0,,,,,,
,,,,DOM-LC,0,0,0,,,,,,DOM-LC,0,0,0,,,,,,DOM-LC,0,0,0,,,,,,
,,,,OB Trans,4,4,0,,,,,,OB Trans,14,11,3,,,,,,OB Trans,11,11,0,,,,,,
,,,,Total,248,263,-15,,,,,,Total,276,294,-18,,,,,,Total,260,292,-32,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Self Reported Terms & Hires vs HCM BI Terms & Hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ECR,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,RKD,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,MSQ,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,,
,,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,
,,,,Shipping,6,5.666666666666667,6.264,5.47,-0.26400000000000023,0.1966666666666672,,,Shipping,1,2.25,2.058,1.97,-1.0579999999999998,0.28,,,Shipping,0.08333333333333333,0.16666666666666666,3.147,2.593,-3.0636666666666663,-2.4263333333333335,,,
,,,,Ecomm,0.16666666666666666,0.5,0.264,0.294,-0.09733333333333336,0.20600000000000002,,,Ecomm,0,0,0.088,0.147,-0.088,-0.147,,,Ecomm,0,0,0.147,0.09375,-0.147,-0.09375,,,
,,,,CR-R,3,4.166666666666667,2.353,1.824,0.6469999999999998,2.342666666666667,,,CR-R,0,0.25,0.7058,0.705,-0.7058,-0.45499999999999996,,,CR-R,0,0,0.9701,0.705,-0.9701,-0.705,,,
,,,,UPH-R,0.9166666666666666,1.9166666666666667,0.794,0.97,0.12266666666666659,0.9466666666666668,,,UPH-R,0,0.08333333333333333,0.588,0.647,-0.588,-0.5636666666666666,,,UPH-R,0,0,0.471,0.529,-0.471,-0.529,,,
,,,,UPH-LC,1.8333333333333333,3,2.264,2.088,-0.43066666666666653,0.9119999999999999,,,UPH-LC,0.75,1.0833333333333333,0.588,0.676,0.16200000000000003,0.4073333333333332,,,UPH-LC,0,0,0.382,0.235,-0.382,-0.235,,,
,,,,DOM-LC,0,0,0,0,0,0,,,DOM-LC,0,0,0.088,0,-0.088,0,,,DOM-LC,0,0,0,0,0,0,,,
,,,,OB Trans,0,1.25,0.147,0,-0.147,1.25,,,OB Trans,0.3333333333333333,0.5,0.4411,0.47,-0.10776666666666668,0.030000000000000027,,,OB Trans,0,0,0.0294,0.029,-0.0294,-0.029,,,
,,,,Total,11.916666666666668,16.5,12.086,10.646,-0.16933333333333245,5.853999999999999,,,Total,2.0833333333333335,4.166666666666667,4.5569,4.615,-2.4735666666666662,-0.44833333333333325,,,Total,0.08333333333333333,0.16666666666666666,5.146499999999999,4.18475,-5.063166666666666,-4.018083333333333,,,
,,,,,,101.8040374869121,,,,,,,,,12.492723196157865,,,,,,,,,-3.0582935535785345,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,LPT,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,RED,,12 Wk Ave,12 Wk Ave,YTD Ave,YTD Ave,(=/-),(+/-),,,
,,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,,Terms,Hires,Terms HCM,Hires HCM,Terms,Hires,,,
,,,,Shipping,4.75,3.3333333333333335,6.971,7.382,-2.221,-4.048666666666666,,,Shipping,0.9166666666666666,1,1.323,1.323,-0.4063333333333333,-0.32299999999999995,,,Shipping,0.08333333333333333,0.8333333333333334,5.352,7.411,-5.268666666666667,-6.5776666666666666,,,
,,,,Ecomm,0.25,0.3333333333333333,0.323,0.441,-0.07300000000000001,-0.10766666666666669,,,Ecomm,0.16666666666666666,0.08333333333333333,0.117,0.264,0.04966666666666665,-0.1806666666666667,,,Ecomm,0,0,0.411,0.559,-0.411,-0.559,,,
,,,,CR-R,2,2.3333333333333335,1.617,2.382,0.383,-0.048666666666666636,,,CR-R,0.9166666666666666,0.9166666666666666,1.088,0.794,-0.17133333333333345,0.12266666666666659,,,CR-R,0,0,1.971,1.647,-1.971,-1.647,,,
,,,,UPH-R,0.25,0,0.4117,0.264,-0.1617,-0.264,,,UPH-R,0.25,0.5,0.617,0.764,-0.367,-0.264,,,UPH-R,0,0,1.235,1.147,-1.235,-1.147,,,
,,,,UPH-LC,0.08333333333333333,0.4166666666666667,1.235,1.558,-1.1516666666666668,-1.1413333333333333,,,UPH-LC,0.3333333333333333,0.75,0.794,1.117,-0.4606666666666667,-0.367,,,UPH-LC,0,0,0,0,0,0,,,
,,,,DOM-LC,0,0,0,0,0,0,,,DOM-LC,0,0,0,0,0,0,,,DOM-LC,0,0,0,0,0,0,,,
,,,,OB Trans,0.08333333333333333,0.16666666666666666,0.235,0.323,-0.15166666666666667,-0.15633333333333335,,,OB Trans,0.16666666666666666,0,0.176,0.147,-0.009333333333333332,-0.147,,,OB Trans,0,0,0.294,0.4117,-0.294,-0.4117,,,
,,,,Total,7.416666666666666,6.583333333333334,10.7927,12.35,-3.376033333333334,-5.766666666666666,,,Total,2.75,3.25,4.115,4.409000000000001,-1.3650000000000002,-1.1590000000000007,,,Total,0.08333333333333333,0.8333333333333334,9.263,11.175699999999999,-9.179666666666666,-10.342366666666665,,,
,,,,,,63.052809387490456,,,,,,,,,11.97583619862411,,,,,,,,,0.6666666666666666,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Absenteeism Self Reported vs PBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ECR,,,5 Wk Ave,,,,,,RKD,,,5 Wk Ave,,,,,,MSQ,,,5 Wk Ave,,,,,,,
,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,
,,,,Shipping,0.1,0.104,-0.00399999999999999,,,,,,Shipping,0.0479,0.0982,-0.0503,,,,,,Shipping,0.1,0.0802,0.019800000000000012,,,,,,
,,,,Ecomm,0.1,0.1338,-0.0338,,,,,,Ecomm,0.02,0.3542,-0.3342,,,,,,Ecomm,0.05,0.0313,0.0187,,,,,,
,,,,CR-R,0.1,0.1031,-0.0030999999999999917,,,,,,CR-R,0.069,0.169,-0.1,,,,,,CR-R,0.1,0.0796,0.0204,,,,,,
,,,,UPH-R,0.1145,0.1118,0.002700000000000008,,,,,,UPH-R,0.05,0.0984,-0.0484,,,,,,UPH-R,0.1,0.0416,0.05840000000000001,,,,,,
,,,,UPH-LC,0.1,0.1492,-0.049199999999999994,,,,,,UPH-LC,0.0824,0.1027,-0.0203,,,,,,UPH-LC,0.05,,0.05,,,,,,
,,,,DOM-LC,0,0,0,,,,,,DOM-LC,0.01,0.1241,-0.11410000000000001,,,,,,DOM-LC,0,0,0,,,,,,
,,,,OB Trans,0.1563,0.0842,0.0721,,,,,,OB Trans,0.03,0.0609,-0.030900000000000004,,,,,,OB Trans,0.1,0.02,0.08,,,,,,
,,,,Total,0.09582857142857144,0.1148,-0.018971428571428556,,,,,,Total,0.044185714285714286,0.14392857142857143,-0.09974285714285715,,,,,,Total,0.07142857142857142,0.0718,-0.0003714285714285781,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV,,,5 Wk Ave,,,,,,LPT,,,5 Wk Ave,,,,,,RED,,,5 Wk Ave,,,,,,,
,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,,File,PBI,(+/-),,,,,,
,,,,Shipping,0.1496,0.1205,0.029100000000000015,,,,,,Shipping,0.1153,0.0902,0.025099999999999997,,,,,,Shipping,0.0643,0.2603,-0.19599999999999998,,,,,,
,,,,Ecomm,0.13,0.3529,-0.2229,,,,,,Ecomm,0.1577,0.1323,0.025400000000000006,,,,,,Ecomm,0.09,0.068,0.021999999999999992,,,,,,
,,,,CR-R,0.13,0.1016,0.02840000000000001,,,,,,CR-R,0.116,0.1474,-0.0314,,,,,,CR-R,0.05,0.1347,-0.08469999999999998,,,,,,
,,,,UPH-R,0.1278,0.0751,0.0527,,,,,,UPH-R,0.1478,0.2,-0.052200000000000024,,,,,,UPH-R,0.08,0.1917,-0.11170000000000001,,,,,,
,,,,UPH-LC,0.1111,0.0832,0.027900000000000008,,,,,,UPH-LC,0.1859,0.0896,0.09630000000000001,,,,,,UPH-LC,0,0,0,,,,,,
,,,,DOM-LC,0,0,0,,,,,,DOM-LC,0,0,0,,,,,,DOM-LC,0,0,0,,,,,,
,,,,OB Trans,0.1667,0.1856,-0.0189,,,,,,OB Trans,0.1725,0.2971,-0.12459999999999999,,,,,,OB Trans,0.04,0.1167,-0.07669999999999999,,,,,,
,,,,Total,0.11645714285714284,0.1218,-0.005342857142857163,,,,,,Total,0.12788571428571427,0.1273,0.0005857142857142728,,,,,,Total,0.04632857142857143,0.206,-0.15967142857142858,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
