Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
15 ,2026-03-28,5557,Domestic Bedding,2007677
15 ,2026-03-28,23877,Import Casegoods,3472178
15 ,2026-03-28,2075,Imported Upholstery,1207892
15 ,2026-03-28,16514,Upholstery,4639715
17 ,2026-03-28,3808,Imported Upholstery,2148669
17 ,2026-03-28,4604,Domestic Bedding,1619405
17 ,2026-03-28,16965,Upholstery,4798084
17 ,2026-03-28,3922,Import Bedding,813657
17 ,2026-03-28,36490,Import Casegoods,5890630
17 ,2026-03-28,8508,Domestic Casegoods,863520
28 ,2026-03-28,10117,Upholstery,2964270
28 ,2026-03-28,1847,Imported Upholstery,1163889
28 ,2026-03-28,2368,Import Bedding,422404
28 ,2026-03-28,3007,Domestic Bedding,1071937
28 ,2026-03-28,17512,Import Casegoods,2788838
28 ,2026-03-28,4370,Domestic Casegoods,449882
335,2026-03-28,63322,Import Casegoods,10075846
335,2026-03-28,14,Domestic Casegoods,2076
335,2026-03-28,10336,Upholstery,2872380
335,2026-03-28,9015,Imported Upholstery,4727254
335,2026-03-28,56,Import Bedding,43730
42 ,2026-03-28,0,Import Casegoods,0
42 ,2026-03-28,0,Upholstery,0
42 ,2026-03-28,0,Domestic Casegoods,0
5  ,2026-03-28,3095,Imported Upholstery,1966240
5  ,2026-03-28,7,Marketplace,0
5  ,2026-03-28,4094,Import Bedding,757852
5  ,2026-03-28,17750,Upholstery,5079562
5  ,2026-03-28,26078,Import Casegoods,4128260
5  ,2026-03-28,5254,Domestic Casegoods,554137
5  ,2026-03-28,5161,Domestic Bedding,1903046
ECR,2026-03-28,14,Marketplace,0
ECR,2026-03-28,29387,Upholstery,8346268
ECR,2026-03-28,8930,Domestic Casegoods,911506
ECR,2026-03-28,34324,Import Casegoods,5513345
ECR,2026-03-28,4956,Imported Upholstery,3060420
ECR,2026-03-28,7543,Domestic Bedding,2178130
ECR,2026-03-28,4700,Import Bedding,919725
1  ,2026-04-04,23482,Upholstery,6522196
1  ,2026-04-04,30392,Import Casegoods,4495147
1  ,2026-04-04,4399,Import Bedding,782446
1  ,2026-04-04,2915,Imported Upholstery,1661960
1  ,2026-04-04,16145,Domestic Casegoods,1614914
1  ,2026-04-04,7322,Domestic Bedding,2479576
15 ,2026-04-04,7508,Domestic Casegoods,791098
15 ,2026-04-04,15703,Upholstery,4389847
15 ,2026-04-04,15,Marketplace,0
15 ,2026-04-04,2142,Imported Upholstery,1234201
15 ,2026-04-04,5825,Import Bedding,1119304
15 ,2026-04-04,23634,Import Casegoods,3566990
15 ,2026-04-04,8911,Domestic Bedding,3248926
17 ,2026-04-04,3570,Imported Upholstery,2100740
17 ,2026-04-04,9119,Domestic Casegoods,918540
17 ,2026-04-04,15446,Upholstery,4476684
17 ,2026-04-04,7609,Domestic Bedding,2713999
17 ,2026-04-04,4545,Import Bedding,931199
17 ,2026-04-04,34449,Import Casegoods,5268006
28 ,2026-04-04,4419,Domestic Casegoods,470908
28 ,2026-04-04,3006,Import Bedding,562882
28 ,2026-04-04,5341,Domestic Bedding,1943185
28 ,2026-04-04,1859,Imported Upholstery,1179610
28 ,2026-04-04,10257,Upholstery,2972370
28 ,2026-04-04,18517,Import Casegoods,2935638
335,2026-04-04,12869,Imported Upholstery,8468002
335,2026-04-04,531,Import Bedding,316818
335,2026-04-04,17,Domestic Casegoods,2651
335,2026-04-04,27173,Upholstery,7661968
335,2026-04-04,54946,Import Casegoods,9606748
42 ,2026-04-04,0,Upholstery,0
42 ,2026-04-04,0,Domestic Casegoods,0
42 ,2026-04-04,0,Import Casegoods,0
5  ,2026-04-04,32739,Import Casegoods,4575408
5  ,2026-04-04,18237,Upholstery,5243417
5  ,2026-04-04,8527,Domestic Bedding,3131526
5  ,2026-04-04,10,Marketplace,0
5  ,2026-04-04,6274,Import Bedding,1192488
5  ,2026-04-04,5937,Domestic Casegoods,631333
5  ,2026-04-04,3341,Imported Upholstery,1912504
ECR,2026-04-04,5698,Import Bedding,926111
ECR,2026-04-04,35655,Upholstery,10156604
ECR,2026-04-04,5154,Imported Upholstery,3070354
ECR,2026-04-04,8977,Domestic Bedding,2884852
ECR,2026-04-04,10204,Domestic Casegoods,1033448
ECR,2026-04-04,22,Marketplace,0
