Saturday | 04/04/2026 | WEEK 14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2026-04-04 00:00:00,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,WK 11 AVG OT ,AVG ABS,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Compared to HCM,-0.036437246963562764,,Compared to LWP,-0.0703125,,,,Compared to HCM,0.004048582995951344,,11.163461538461538,,10.038461538461538,Hires/Wk,,,,,,,,,,,,,
Compared to LPF,-0.040322580645161255,,Compared to LPF,-0.03515625,,,,Compared to LWP,0.004048582995951344,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,9.538461538461538,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,67,5.153846153846154,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,22,1.6923076923076923,,,,,,,,,,,,,,,,,
,,,,,,,,RECEIVING,26,2,,,,,,,,,,,,,,,,,
,,,,,,,,UPH RECEIVING,3,0.23076923076923078,,,,,,,,,,,,,,,,,
,,,,,,,,UPH LINE CLEARING,3,0.23076923076923078,,,,,,,,,,,,,,,,,
,,,,,,,,DOM LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,SHIP-TRANSFERS,3,0.23076923076923078,,,,,,,,,,,,,,,,,
,,,,,,,,Updated EOM (2/27) →,124,9.538461538461538,,,,,,,,,,,,,,,,,
,,↑,,,↑,↓,,,,,,,,,,,,,,,,,,,,,
↓  LEESPORT (15) ,WEEK 11 OT,0.1021,,4 Week Absenteeism AVG,ABS,ATTEND,,,30 Day Turnover / WoW,0.1429,,,,,,,,,LPT  ↓,,,,,,,,
,2026 YTD OT GOAL,0.06,,,0.1492,0.8508,,,90 Day Turnover / WoW,0.425,,,,,,,,,,,,,,,,,
,WEEK 10 OT ,0.0612,,,,,,,,,,,,,,,,,,,,,,,,,
Last Week's Payroll,,,Human Capital Metrics,,,,,Labor Planning File,,,,,,,,,,,,,,,,,,,
Department,Count of Employees,Previous WK,Department,Count of Employees,,,Previous WK,Department,Count of Employees,8 Weeks,8,16 Weeks,16.0,,,,2026 GOALS,PPH,OT,,,,,,,,
SHIPPING,114,114,SHIPPING,115,,,115,SHIPPING,115,114,-1,114,-1.0,,,,Shipping - Non-Ecomm,13.109617245719646,0.057625959736009286,,,,,,,,
ECOMM SHIP,15,15,ECOMM SHIP,16,,,15,ECOMM SHIP,16,15,-1,15,-1.0,,,,Ecomm Shipments,17.5956495395095,0.05423138283578367,,,,,,,,
RECEIVING,87,87,RECEIVING,89,,,88,RECEIVING,88,88,0,88,0.0,,,,CG - Receiving,17.60602991802633,0.06585613760422836,,,,,,,,
UPH RECEIVING,14,13,UPH RECEIVING,13,,,14,UPH RECEIVING,14,17,3,17,3.0,,,,UPH - Receiving,12.508599528135218,0.05784112091273815,,,,,,,,
UPH LINE CLEARING,25,31,UPH LINE CLEARING,31,,,31,UPH LINE CLEARING,29,35,6,34,5.0,,,,UPH Line Clearing,10.320959678762208,0.06276216300686356,,,,,,,,
DOM LINE CLEARING,,,DOM LINE CLEARING,,,,,DOM LINE CLEARING,,,,,,,,,DOM Line Clearing,,,,,,,,,,
SHIP-TRANSFERS,14,14,SHIP-TRANSFERS,14,,,14,SHIP-TRANSFERS,14,12,-2,12,-2.0,,,,Outbound Xfers,21.964155777155646,0.046437681438113824,,,,,,,,
Grand Total,269,274,Grand Total,278,,,277,Grand Total,276,281,5,280,4.0,Net Hire Needs,,,2026 Total ,14.666749531394878,0.06,,,,,,,,
,,,,,,,,,,,3.923076923076923,,3.923076923076923,90 Day Terms,,,,,,,,,,,,,
,,,,,,,,,,,31.384615384615383,,62.76923076923077,TO Backfill,,,,,,,,,,,,,
,,,,,,,,,60 Day Recruiting Needs →,,36.38461538461539,,66.76923076923077,60 Day Hires SUM,,,,,,,,,,,,,
Compared to HCM,-0.03237410071942448,,Compared to LWP,-0.03928571428571426,,,,Compared to HCM,-0.007194244604316502,,4.548076923076923,,4.173076923076923,Hires/Wk,,,,,,,,,,,,,
Compared to LPF,-0.025362318840579712,,Compared to LPF,-0.0071428571428571175,,,,Compared to LWP,-0.007194244604316502,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,3.923076923076923,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,24,1.8461538461538463,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,6,0.46153846153846156,,,,,,,,,,,,,,,,,
,,,,,,,,RECEIVING,12,0.9230769230769231,,,,,,,,,,,,,,,,,
,,,,,,,,UPH RECEIVING,1,0.07692307692307693,,,,,,,,,,,,,,,,,
,,,,,,,,UPH LINE CLEARING,6,0.46153846153846156,,,,,,,,,,,,,,,,,
,,,,,,,,DOM LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,SHIP-TRANSFERS,2,0.15384615384615385,,,,,,,,,,,,,,,,,
,,,,,,,,Updated EOM (2/27) →,51,3.923076923076923,,,,,,,,,,,,,,,,,
,,↓,,,↓,↑,,,,,,,,,,,,,,,,,,,,,
↓  MESQUITE (28),WEEK 11 OT,0.0523,,4 Week Absenteeism AVG,ABS,ATTEND,,,30 Day Turnover / WoW,0.25,,,,,,,,,,,,,,,,,
,2026 YTD OT GOAL,0.0483,,,0.08289999999999997,0.9171,,,90 Day Turnover / WoW,0.3636,,,,,,,,,MSQ  ↓,,,,,,,,
,WEEK 10 OT ,0.0803,,,,,,,,,,,,,,,,,,,,,,,,,
Last Week's Payroll,,,Human Capital Metrics,,,,,Labor Planning File,,,,,,,,,,,,,,,,,,,
Department,Count of Employee,Previous WK,Department,Count of Employee,,,Previous WK,Department,Count of Employee,8 Weeks,8,16 Weeks,16.0,,,,2026 GOALS,PPH,OT,,,,,,,,
SHIPPING,85,85,SHIPPING,88,,,90,SHIPPING,84,85,1,85,1.0,,,,Shipping - Non-Ecomm,13.216605498046153,0.040219973719409705,,,,,,,,
ECOMM SHIP,5,5,ECOMM SHIP,5,,,5,ECOMM SHIP,5,5,0,5,0.0,,,,Ecomm Shipments,17.632480654477153,0.08862598374737914,,,,,,,,
RECEIVING,41,41,RECEIVING,42,,,43,RECEIVING,40,40,0,40,0.0,,,,CG - Receiving,19.63750191737333,0.04468255845164741,,,,,,,,
UPH RECEIVING,23,23,UPH RECEIVING,24,,,23,UPH RECEIVING,24,23,-1,23,-1.0,,,,UPH - Receiving,11.81338635901323,0.05267215540437936,,,,,,,,
UPH LINE CLEARING,10,10,UPH LINE CLEARING,10,,,10,UPH LINE CLEARING,11,11,0,11,0.0,,,,UPH Line Clearing,12.055715474863462,0.0659934368563461,,,,,,,,
DOM LINE CLEARING,,,DOM LINE CLEARING,,,,,DOM LINE CLEARING,,,,,,,,,DOM Line Clearing,,,,,,,,,,
SHIP-TRANSFERS,4,4,SHIP-TRANSFERS,5,,,5,SHIP-TRANSFERS,3,3,0,3,0.0,,,,Outbound Xfers,16.399833605631436,0.0705670286857187,,,,,,,,
Grand Total,168,168,Grand Total,174,,,176,Grand Total,167,167,0,167,0.0,Net Hire Needs,,,2026 Total ,14.851989211020076,0.0483429874544805,,,,,,,,
,,,,,,,,,,,4.846153846153846,,5.0,90 Day Terms,,,,,,,,,,,,,
,,,,,,,,,,,38.76923076923077,,80.0,TO Backfill,,,,,,,,,,,,,
,,,,,,,,,60 Day Recruiting Needs →,,38.76923076923077,,80.0,60 Day Hires SUM,,,,,,,,,,,,,
Compared to HCM,-0.03448275862068961,,Compared to LWP,0.0059880239520957446,,,,Compared to HCM,-0.04022988505747127,,4.846153846153846,,5.0,Hires/Wk,,,,,,,,,,,,,
Compared to LPF,0.0059880239520957446,,Compared to LPF,0.041916167664670656,,,,Compared to LWP,-0.04022988505747127,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,4.846153846153846,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,24,1.8461538461538463,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,9,0.6923076923076923,,,,,,,,,,,,,,,,,
,,,,,,,,RECEIVING,18,1.3846153846153846,,,,,,,,,,,,,,,,,
,,,,,,,,UPH RECEIVING,8,0.6153846153846154,,,,,,,,,,,,,,,,,
,,,,,,,,UPH LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,DOM LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,SHIP-TRANSFERS,4,0.3076923076923077,,,,,,,,,,,,,,,,,
,,,,,,,,Updated EOM (2/27) →,63,4.846153846153846,,,,,,,,,,,,,,,,,
,,↓,,,↑,↓,,,,,,,,,,,,,,,,,,,,,
↓  REDLANDS (5),WEEK 11 OT,0.0788,,4 Week Absenteeism AVG,ABS,ATTEND,,,30 Day Turnover / WoW,0.3333,,,,,,,,,RED  ↓,,,,,,,,
,2026 YTD OT GOAL,0.0634,,,0.17020000000000002,0.8298,,,90 Day Turnover / WoW,0.1875,,,,,,,,,,,,,,,,,
,WEEK 10 OT ,0.0899,,,,,,,,,,,,,,,,,,,,,,,,,
Last Week's Payroll,,,Human Capital Metrics,,,,,Labor Planning File,,,,,,,,,,,,,,,,,,,
Department,Count of Employee,Previous WK,Department,Count of Employee,,,Previous WK,Department,Count of Employee,LOA,ADJ,8 Weeks,8.0,16 Weeks,16.0,,2026 GOALS,PPH,OT,,,,,,,,
SHIPPING,113,108,SHIPPING,124,,,123,SHIPPING,120,15,105,129,9.0,129,9.0,,Shipping - Non-Ecomm,14.193272886218683,0.0788,,,,,,,,
ECOMM SHIP,8,8,ECOMM SHIP,8,,,8,ECOMM SHIP,5,,0,5,0.0,0,0.0,,Ecomm Shipments,23.566351944131235,0.0598,,,,,,,,
RECEIVING,60,59,RECEIVING,66,,,63,RECEIVING,62,5,57,62,0.0,62,0.0,,CG - Receiving,23.146564459845443,0.0555,,,,,,,,
UPH RECEIVING,49,52,UPH RECEIVING,52,,,55,UPH RECEIVING,62,5,57,62,0.0,62,0.0,,UPH - Receiving,13.520624695325969,0.0434,,,,,,,,
UPH LINE CLEARING,,,UPH LINE CLEARING,,,,,UPH LINE CLEARING,,,,,,,,,UPH Line Clearing,,,,,,,,,,
DOM LINE CLEARING,,,DOM LINE CLEARING,,,,,DOM LINE CLEARING,,,,,,,,,DOM Line Clearing,,,,,,,,,,
SHIP-TRANSFERS,9,9,SHIP-TRANSFERS,10,,,10,SHIP-TRANSFERS,11,1,10,11,0.0,11,0.0,,Outbound Xfers,24.743586450944097,0.0243,,,,,,,,
Grand Total,239,236,Grand Total,260,,,259,Grand Total,260,26,229,269,9.0,264,9.0,Net Hire Needs,2026 Total ,17.276906476788987,0.0634,,,,,,,,
,,,,,,,,,,,,,7.923076923076923,,7.923076923076923,90 Day Terms,,,,,,,,,,,
,,,,,,,,,,,,,63.38461538461539,,126.76923076923077,TO Backfill,,,,,,,,,,,
,,,,,,,,,60 Day Recruiting Needs →,,,,72.38461538461539,,135.76923076923077,60 Day Hires SUM,,,,,,,,,,,
Compared to HCM,-0.08076923076923082,,Compared to LWP,-0.11152416356877326,,,,Compared to HCM,0,,,,9.048076923076923,,8.485576923076923,Hires/Wk,,,,,,,,,,,
Compared to LPF,0.04366812227074246,,Compared to LPF,-0.03345724907063197,,,,Compared to LWP,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,7.923076923076923,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,39,3,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,30,2.3076923076923075,,,,,,,,,,,,,,,,,
,,,,,,,,RECEIVING,20,1.5384615384615385,,,,,,,,,,,,,,,,,
,,,,,,,,UPH RECEIVING,11,0.8461538461538461,,,,,,,,,,,,,,,,,
,,,,,,,,UPH LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,DOM LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,SHIP-TRANSFERS,3,0.23076923076923078,,,,,,,,,,,,,,,,,
,,,,,,,,Updated EOM (2/27) →,103,7.923076923076923,,,,,,,,,,,,,,,,,
,,↓,,,↓,↑,,,,,,,,,,,,,,,,,,,,,
↓  ECRU (ECR),WEEK 11 OT,0.1733,,4 Week Absenteeism AVG,ABS,ATTEND,,,30 Day Turnover / WoW,0.0455,,,,,,,,,,,,,,,,,
,2026 YTD OT GOAL,0.0575,,,0.06879999999999997,0.9312,,,90 Day Turnover / WoW,0.3788,,,,,,,,,ECR  ↓,,,,,,,,
,WEEK 10 OT ,0.179,,,,,,,,,,,,,,,,,,,,,,,,,
Last Week's Payroll,,,Human Capital Metrics,,,,,Labor Planning File,,,,,,,,,,,,,,,,,,,
Department,Count of Employee,Previous WK,Department,Count of Employee,Allegiant,Total,Previous WK,Department,Count of Employee,8 Weeks,8,16 Weeks,16.0,,,,2026 GOALS,PPH,OT,,,,,,,,
SHIPPING,168,170,SHIPPING,169,6,175,175,SHIPPING,161,153,-8,151,-10.0,,,,Shipping - Non-Ecomm,13.156966175268979,0.06046119509923697,,,,,,,,
ECOMM SHIP,10,10,ECOMM SHIP,10,0,10,10,ECOMM SHIP,10,14,4,14,4.0,,,,Ecomm Shipments,19.081265495066756,0.03921016407682174,,,,,,,,
RECEIVING,75,75,RECEIVING,77,8,85,75,RECEIVING,78,80,2,80,2.0,,,,CG - Receiving,21.559482191842072,0.04952860609466552,,,,,,,,
UPH RECEIVING,28,28,UPH RECEIVING,28,0,28,29,UPH RECEIVING,27,36,9,39,12.0,,,,UPH - Receiving,11.7167544857026,0.03904582079739792,,,,,,,,
UPH LINE CLEARING,64,68,UPH LINE CLEARING,68,8,76,70,UPH LINE CLEARING,66,80,14,80,14.0,,,,UPH Line Clearing,10.834424231328242,0.07511748388933497,,,,,,,,
DOM LINE CLEARING,,,DOM LINE CLEARING,,,,,DOM LINE CLEARING,,,,,,,,,DOM Line Clearing,,,,,,,,,,
SHIP-TRANSFERS,12,11,SHIP-TRANSFERS,12,0,12,11,SHIP-TRANSFERS,12,22,10,20,8.0,,,,Outbound Xfers,16.830785356314077,0.03263474962618099,,,,,,,,
Grand Total,357,362,Grand Total,364,22,386,,Grand Total,354,385,31,384,30.0,Net Hire Needs,,,2026 Total ,14.62762816069523,0.0574534266303721,,,,,,,,
,,,,Allegiant Goal ,28,,,,,,11.153846153846153,,11.153846153846153,90 Day Terms,,,,,,,,,,,,,
,,,,,-6,,,,,,89.23076923076923,,178.46153846153845,TO Backfill,,,,,,,,,,,,,
,,,,,,,,,60 Day Recruiting Needs →,,120.23076923076923,,208.46153846153845,60 Day Hires SUM,,,,,,,,,,,,,
Compared to HCM,-0.019230769230769273,,Compared to LWP,-0.0703125,,,,Compared to HCM,-0.027472527472527486,,15.028846153846153,,13.028846153846153,Hires/Wk,,,,,,,,,,,,,
Compared to LPF,0.008474576271186418,,Compared to LPF,-0.05208333333333337,,,,Compared to LWP,-0.027472527472527486,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,11.153846153846153,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,49,3.769230769230769,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,14,1.0769230769230769,,,,,,,,,,,,,,,,,
,,,,,,,,RECEIVING,19,1.4615384615384615,,,,,,,,,,,,,,,,,
,,,,,,,,UPH RECEIVING,10,0.7692307692307693,,,,,,,,,,,,,,,,,
,,,,,,,,UPH LINE CLEARING,36,2.769230769230769,,,,,,,,,,,,,,,,,
,,,,,,,,DOM LINE CLEARING,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,SHIP-TRANSFERS,17,1.3076923076923077,,,,,,,,,,,,,,,,,
,,,,,,,,Updated EOM (2/27) →,145,11.153846153846153,,,,,,,,,,,,,,,,,
