Week Ending Date,Weekday,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Ecomm %,Unnamed: 12,Ecomm 2 WK,Ecomm 13 WK,Unnamed: 15,Demand Fulfillment Buffer,Unnamed: 17,Unnamed: 18,Unnamed: 19,Demand Fulfillment,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-06-01,Total,53906,11332057.36,210.21885059177086,9882,1207602.53,122.20223942521757,63788,12539659.889999999,196.58336818837398,0.15491942058067348,,,,,,,,,86558.0,70111.98000000001,59254.89725213054,10857.082747869468
2024-05-25,Total,53700,11526336.21,214.64313240223464,8256,983921.73,119.17656613372093,61956,12510257.940000001,201.92165310865778,0.13325585899670733,,,,,,,,,84143.0,68155.83,57601.66384951153,10554.166150488465
2024-05-18,Total,58053,12529605.89,215.83046336967945,7722,944392.11,122.29890054390054,65775,13473998.0,204.8498365640441,0.11740022805017104,,,,,,,,,81618.0,66110.58,55873.127890251504,10237.452109748494
2024-05-11,Total,58713,12395106.51,211.1134929232027,7820,967705.4,123.74749360613811,66533,13362811.91,200.8448726196023,0.11753565899628755,,,,,,,,,2150525.0,1741925.25,1472182.0965495738,269743.1534504261
2024-05-04,Total,55894,12252768.05,219.21437095215947,6617,788604.47,119.17855070273538,62511,13041372.520000001,208.6252422773592,0.10585336980691398,,,,,,,,,,,,
2024-04-27,Total,51985,11382180.88,218.95125286140234,5665,666970.1,117.73523389232126,57650,12049150.98,209.00522081526452,0.09826539462272334,,,,,,,,,,,,
2024-04-20,Total,52638,11417222.84,216.90077206580796,5922,699683.56,118.14987504221548,58560,12116906.4,206.91438524590166,0.10112704918032787,,,,,,,,,,,,
2024-04-13,Total,50730,11367063.54,224.06985097575398,5779,721906.53,124.91893580204189,56509,12088970.069999998,213.92999469111112,0.10226689553876374,,,,,,,,,,,,
2024-04-06,Total,58664,12471868.79,212.5983361175508,5810,735622.24,126.6131222030981,64474,13207491.03,204.84987793529174,0.09011384434035426,,,,,,,,,,,,
2024-03-30,Total,62410,13465238.59,215.75450392565293,6372,810853.75,127.25262868801005,68782,14276092.34,207.55564450001452,0.09264051641417813,,,,,,,,,,,,
