Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Storage Type,Casegoods,Unnamed: 6,Storage Type.1,Upholstery
,,,,,,,,
Row Labels,Sum of DF% ,,,Row Labels,Sum of Avg DF%,,Row Labels,Sum of Avg DF%
5,,,,13,0.876972,,9,0.846169
6,,,,14,0.899979,,10,0.793961
7,,,,15,0.919367,,11,0.709535
8,,,,16,0.927583,,12,0.752171
C,,,,17,0.9453,,13,0.785906
11,,,,18,0.964315,,14,0.799725
12,,,,19,0.97674,,15,0.812822
13,,,,20,0.987696,,16,0.826213
14,,,,21,0.999222,,17,0.836807
15,,,,22,1,,18,0.845993
16,,,,23,1,,19,0.864488
17,,,,24,1,,20,0.872928
18,,,,25,1,,21,0.882804
19,,,,26,1,,22,0.881559
20,,,,Grand Total,377.28079250000013,,23,0.877959
21,,,,,,,24,0.879783
22,,,,,,,25,0.881143
23,,,,,,,26,0.883943
24,,,,,,,Grand Total,290.64286799999996
25,,,,,,,,
26,,,,,,,,
ECA,,,,,,,,
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
ECR,24.603657350000006,,,,,,,
0,0.90967925,,,,,,,
1,0.9931903,,,,,,,
2,0.9657208,,,,,,,
3,0.95074985,,,,,,,
4,0.9418195499999998,,,,,,,
5,0.88876405,,,,,,,
6,0.9300439,,,,,,,
7,0.9576045999999999,,,,,,,
8,0.9487063,,,,,,,
9,0.9064875000000001,,,,,,,
10,0.8324989500000001,,,,,,,
11,0.7793553,,,,,,,
12,0.8061584500000001,,,,,,,
13,0.8359923,,,,,,,
14,0.8548646999999999,,,,,,,
15,0.8714217500000001,,,,,,,
16,0.8819665000000001,,,,,,,
17,0.8964781500000001,,,,,,,
18,0.9110701,,,,,,,
19,0.9262266,,,,,,,
20,0.9360504000000001,,,,,,,
21,0.9468339,,,,,,,
22,0.9467015499999999,,,,,,,
23,0.94508155,,,,,,,
24,0.9459023500000001,,,,,,,
25,0.94651435,,,,,,,
26,0.94777435,,,,,,,
Grand Total,196.82815472500005,,,,,,,
