Warehouse,Snapshot Week,Storage Type,Total DF%,Avg DF%,Adj Join,%,DF% ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
15,15,Casegoods,0.826944,0.850257,Upholstery_15_15,58,0.8449314000000001,,,,,,,,,
15,15,Upholstery,0.843135,0.837577,Casegoods_15_15,42,,,,,,,,,,
15,16,Casegoods,0.857908,0.862935,Casegoods_15_16,58,0.8536068,,,,,,,,,
15,16,Upholstery,0.830239,0.840725,Upholstery_15_16,42,,,,,,,,,,
15,17,Casegoods,1,0.877506,Upholstery_15_17,58,0.85910076,,,,,,,,,
15,17,Upholstery,1,0.833684,Casegoods_15_17,42,,,,,,,,,,
15,18,Casegoods,1,0.891158,Casegoods_15_18,58,0.8743122200000001,,,,,,,,,
15,18,Upholstery,1,0.851049,Upholstery_15_18,42,,,,,,,,,,
15,19,Casegoods,1,0.901726,Upholstery_15_19,58,0.88512466,,,,,,,,,
15,19,Upholstery,1,0.862199,Casegoods_15_19,42,,,,,,,,,,
15,20,Casegoods,1,0.921063,Casegoods_15_20,58,0.90471576,,,,,,,,,
15,20,Upholstery,1,0.882141,Upholstery_15_20,42,,,,,,,,,,
15,21,Casegoods,1,0.938416,Casegoods_15_21,58,0.9169321600000001,,,,,,,,,
15,21,Upholstery,1,0.887264,Upholstery_15_21,42,,,,,,,,,,
15,22,Casegoods,1,0.95457,Casegoods_15_22,58,0.92940444,,,,,,,,,
15,22,Upholstery,1,0.894652,Upholstery_15_22,42,,,,,,,,,,
15,23,Casegoods,1,0.960887,Upholstery_15_23,58,0.93423968,,,,,,,,,
15,23,Upholstery,1,0.897441,Casegoods_15_23,42,,,,,,,,,,
15,24,Casegoods,1,0.964642,Casegoods_15_24,58,0.93672292,,,,,,,,,
15,24,Upholstery,1,0.898168,Upholstery_15_24,42,,,,,,,,,,
15,25,Casegoods,1,0.966315,Casegoods_15_25,58,0.9387382199999998,,,,,,,,,
15,25,Upholstery,1,0.900656,Upholstery_15_25,42,,,,,,,,,,
15,26,Casegoods,1,0.969344,Casegoods_15_26,58,0.9422661800000001,,,,,,,,,
15,26,Upholstery,1,0.904873,Upholstery_15_26,42,,,,,,,,,,
17,0,Casegoods,0.888319,0.896936,Casegoods_17_0,63,0.8807159400000001,,,,,,,,,
17,0,Upholstery,0.839187,0.853098,Upholstery_17_0,37,,,,,,,,,,
17,1,Casegoods,0.989818,1,Upholstery_17_1,63,0.9997095500000001,,,,,,,,,
17,1,Upholstery,1.01195,0.999215,Casegoods_17_1,37,,,,,,,,,,
17,2,Casegoods,0.878593,0.905658,Casegoods_17_2,63,0.9090805000000001,,,,,,,,,
17,2,Upholstery,0.907237,0.914908,Upholstery_17_2,37,,,,,,,,,,
17,3,Casegoods,0.939575,0.927902,Upholstery_17_3,63,0.93409099,,,,,,,,,
17,3,Upholstery,0.916441,0.944629,Casegoods_17_3,37,,,,,,,,,,
17,4,Casegoods,0.923924,0.898789,Upholstery_17_4,63,0.9122277699999999,,,,,,,,,
17,4,Upholstery,0.886724,0.93511,Casegoods_17_4,37,,,,,,,,,,
17,5,Casegoods,0.790117,0.901069,Upholstery_17_5,63,0.8628587300000001,,,,,,,,,
17,5,Upholstery,0.894254,0.797798,Casegoods_17_5,37,,,,,,,,,,
17,6,Casegoods,0.897745,0.905465,Casegoods_17_6,63,0.8927170200000001,,,,,,,,,
17,6,Upholstery,0.86684,0.871011,Upholstery_17_6,37,,,,,,,,,,
17,7,Casegoods,0.925676,0.930777,Casegoods_17_7,63,0.9178147899999999,,,,,,,,,
17,7,Upholstery,0.89235,0.895744,Upholstery_17_7,37,,,,,,,,,,
17,8,Casegoods,0.926932,0.93113,Casegoods_17_8,63,0.92538871,,,,,,,,,
17,8,Upholstery,0.911589,0.915613,Upholstery_17_8,37,,,,,,,,,,
17,9,Casegoods,0.919135,0.922207,Casegoods_17_9,63,0.92223697,,,,,,,,,
17,9,Upholstery,0.919702,0.922288,Upholstery_17_9,37,,,,,,,,,,
17,10,Casegoods,0.856496,0.861157,Casegoods_17_10,63,0.86788471,,,,,,,,,
17,10,Upholstery,0.877518,0.87934,Upholstery_17_10,37,,,,,,,,,,
17,11,Casegoods,0.831296,0.833977,Casegoods_17_11,63,0.82952072,,,,,,,,,
17,11,Upholstery,0.819623,0.821933,Upholstery_17_11,37,,,,,,,,,,
17,12,Casegoods,0.781869,0.81732,Upholstery_17_12,63,0.80616487,,,,,,,,,
17,12,Upholstery,0.815937,0.787171,Casegoods_17_12,37,,,,,,,,,,
17,13,Casegoods,0.75982,0.821203,Upholstery_17_13,63,0.8002743200000001,,,,,,,,,
17,13,Upholstery,0.820237,0.764639,Casegoods_17_13,37,,,,,,,,,,
17,14,Casegoods,0.782401,0.864538,Upholstery_17_14,63,0.83669661,,,,,,,,,
17,14,Upholstery,0.863679,0.789291,Casegoods_17_14,37,,,,,,,,,,
17,15,Casegoods,0.80002,0.886913,Upholstery_17_15,63,0.85701663,,,,,,,,,
17,15,Upholstery,0.885824,0.806112,Casegoods_17_15,37,,,,,,,,,,
17,16,Casegoods,0.883784,0.886633,Casegoods_17_16,63,0.8645558399999999,,,,,,,,,
17,16,Upholstery,0.822784,0.826965,Upholstery_17_16,37,,,,,,,,,,
17,17,Casegoods,1,0.883185,Upholstery_17_17,63,0.8601750699999999,,,,,,,,,
17,17,Upholstery,1,0.820996,Casegoods_17_17,37,,,,,,,,,,
17,18,Casegoods,1,0.880652,Casegoods_17_18,63,0.8607497000000001,,,,,,,,,
17,18,Upholstery,1,0.826862,Upholstery_17_18,37,,,,,,,,,,
17,19,Casegoods,1,0.876536,Upholstery_17_19,63,0.86657264,,,,,,,,,
17,19,Upholstery,1,0.849608,Casegoods_17_19,37,,,,,,,,,,
17,20,Casegoods,1,0.8831,Casegoods_17_20,63,0.8745433800000001,,,,,,,,,
17,20,Upholstery,1,0.859974,Upholstery_17_20,37,,,,,,,,,,
17,21,Casegoods,1,0.891696,Casegoods_17_21,63,0.8876093499999999,,,,,,,,,
17,21,Upholstery,1,0.880651,Upholstery_17_21,37,,,,,,,,,,
17,22,Casegoods,1,0.897312,Upholstery_17_22,63,0.89421584,,,,,,,,,
17,22,Upholstery,1,0.888944,Casegoods_17_22,37,,,,,,,,,,
17,23,Casegoods,1,0.900608,Upholstery_17_23,63,0.89942178,,,,,,,,,
17,23,Upholstery,1,0.897402,Casegoods_17_23,37,,,,,,,,,,
17,24,Casegoods,1,0.901234,Upholstery_17_24,63,0.90409003,,,,,,,,,
17,24,Upholstery,1,0.908953,Casegoods_17_24,37,,,,,,,,,,
17,25,Casegoods,1,0.904731,Casegoods_17_25,63,0.9081057699999999,,,,,,,,,
17,25,Upholstery,1,0.913852,Upholstery_17_25,37,,,,,,,,,,
17,26,Casegoods,1,0.906255,Upholstery_17_26,63,0.90980441,,,,,,,,,
17,26,Upholstery,1,0.915848,Casegoods_17_26,37,,,,,,,,,,
