Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,WE Date,Total Adjusted OB (Delta) Volume ,Billable ,Ecomm
2024-12-28 00:00:00,9985,52754,76617,0.130323557435034,0.6885417074539593,,,,,,,,,
2025-01-04 00:00:00,11902,76421,67218,0.17706566693445208,1.1369127317087684,,,,,,,,,
2025-01-11 00:00:00,10681,93335,44260,0.24132399457749662,2.108788974243109,,,,,,,,,
2025-01-18 00:00:00,9930,88112,54847,0.1810491002242602,1.6065053694823783,,,,,,,,,
2025-01-25 00:00:00,8988,84518,66654,0.1348456206679269,1.2680109220751943,,,,,,,,,
2025-02-01 00:00:00,7804,98924,64523,0.12094911891883514,1.5331587185964695,,,,,,,,,
2025-02-08 00:00:00,8316,94196,66210,0.1256003624830086,1.4226853949554448,,,,,,,,,
2025-02-15 00:00:00,9685,95277,67549,0.1433774001095501,1.4104872018830774,,,,,,,,,
2025-02-22 00:00:00,16928,93076,74291,0.22786070991102556,1.252857008251336,,,,,,,,,
2025-03-01 00:00:00,11230,81671,75459,0.14882253939225273,1.0823228508196505,,,,,,,,,
2025-03-08 00:00:00,9494,93820,81216,0.11689814814814815,1.1551910953506699,,,,,,,,,
2025-03-15 00:00:00,9323,97642,75713,0.1231360532537345,1.289633220186758,,,,,,,,,
Grand Total,261932,2130294,1653455,0.15841495535106792,1.288389463275384,,,,,,,,,
