Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,477538.09764317796,466389.54498842015,489178.7574342821,434576.5010912546,446402.22318358585,449781.0734989306,482568.5384473079,430887.2986772799,427981.00947510346,442188.45277370303,490999.499048582,435069.7424959458,456225.5387826035,433204.8013261047,426605.28107383434,474092.79977779294,473795.7425433705,445009.95509352477,421551.4216670025,467621.43209017435,446721.7443652912,441895.25303265697,435470.6679159988,452826.5525782632,476896.3398239162,456716.46128546895,427849.6208466156
CG Delta % applied,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,55953.42052481677,51545.89304845601,63084.6741853657,51569.48857665256,50835.89301943815,47679.69072580539,56303.96261987626,50161.42517028416,48857.13818155761,57471.18784582157,57847.86052790085,48720.09815295442,50660.529752478236,60651.644057893594,52966.7130192907,55914.68816733153,57472.008936356055,57755.75682398435,52997.082674401994,59979.04353369825,58617.8020087887,58204.56471917342,55073.197709754946,55429.0656769756,58597.36898842546,56289.55728814423,
15 ,34509.16414201943,34992.047229347714,38807.55769272385,40352.39743195208,35652.65535507635,34046.85516104299,37795.344861559606,37236.83076609203,35417.2546099925,39725.847745079634,44256.707080295455,38111.20672062867,41176.314474799045,35007.05552111711,39643.202668306425,44512.782213663864,44898.88506823833,40209.04374007428,38906.86572013064,41917.91768428641,40651.58587536024,39460.13208667953,39893.63671383606,42726.89439750109,46741.54472616878,41090.27375855099,
17 ,42712.9511991276,43651.38800029574,51487.82823861561,43696.95572635679,44474.58478248583,40380.75037864601,49623.20762723504,43910.982766942514,43119.080308481396,46999.95599531311,58614.846869653484,42000.2979014642,50927.51247403021,51013.70957868154,46411.918689402206,51548.86292791056,49494.60532892757,46878.254407516666,46939.269516893924,54788.85319427806,49778.77197932591,48663.42011659045,46614.117144170785,48963.50567507408,52926.46725507835,49128.68744734532,
19,13.390767232174898,224.17136255344644,53.214861072037436,122.78203197732117,61.50753589552554,45.81217021495861,135.81185047784825,63.2456883999061,71.75861092383985,86.08694194974022,110.25421698858807,137.78290487177588,116.09568582600654,148.28760376602307,161.49554171420914,117.71455354023995,90.32674370408988,74.37904026075233,52.836693375059696,71.16629963945195,56.14214037052936,42.67590361667893,42.511050184223606,33.702078927548456,29.90450658799304,30.625519694695345,
28 ,25626.83341275698,26035.08000542511,30648.454145387215,27089.645295210204,23635.08678142236,25395.128403493396,29894.19252851139,24593.75892610348,24604.813010512204,25842.194956042087,34229.96275320248,25105.87343271974,29128.78220496997,25408.447666318665,25965.527902222853,32054.198447403116,31559.151516548955,27113.568683360307,25725.038274530587,31372.834004988905,26203.55204508876,27925.522771627657,27156.95928135248,27655.730235086863,29810.06493893167,27033.322489018232,
335,64849.05140328813,58187.93306471891,35310.176210193014,40009.55892536435,59510.55843147475,50496.36367028155,56223.143291686705,42912.96431791568,47578.53059742819,40151.89109350642,46935.32470581795,37954.99696691527,36602.0211525925,34899.088383119255,36880.5051085595,34979.261266331014,37171.86521996892,36482.97604540625,36089.63346491067,35117.50100490122,36874.98747089527,35421.880414416126,35168.05790814551,37079.82549697335,38067.49146343151,38906.56927990531,
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,46152.210630455986,42019.368986621135,51055.67502388819,40695.271485603735,44345.92515289207,40608.93946573465,50048.48180962498,38409.15781937645,47677.76578563072,48354.19816127203,51284.16450139751,42357.98498262203,41987.66898472297,40129.81366379193,42697.24492581757,50418.207547518665,49141.965948960424,41894.99783344912,40510.60460516957,44175.833901435646,41421.15416477611,41748.61534420066,41484.67715519609,43451.049387814666,49320.63649717585,42239.3872986886,
