Unnamed: 0,Unnamed: 1
,
Row Labels,Average of Avg DF%
Casegoods,1
Upholstery,1
2,0.975439
Casegoods,1
Upholstery,0.950878
3,0.9460707500000001
Casegoods,1
Upholstery,0.8921415
4,0.8660615
Casegoods,1
Upholstery,0.732123
5,0.8128839999999999
Casegoods,1
Upholstery,0.625768
6,0.858509
Casegoods,1
Upholstery,0.717018
7,0.88291575
Casegoods,1
Upholstery,0.7658315
8,0.9244875
Casegoods,1
Upholstery,0.848975
9,0.96232175
Casegoods,1
Upholstery,0.9246435
10,1
Casegoods,1
Upholstery,1
11,1
Casegoods,1
Upholstery,1
12,1
Casegoods,1
Upholstery,1
13,1
Casegoods,1
Upholstery,1
14,1
Casegoods,1
Upholstery,1
15,1
Casegoods,1
Upholstery,1
16,1
Casegoods,1
Upholstery,1
17,1
Casegoods,1
Upholstery,1
18,1
Casegoods,1
Upholstery,1
19,1
Casegoods,1
Upholstery,1
20,1
Casegoods,1
Upholstery,1
21,1
Casegoods,1
Upholstery,1
22,1
Casegoods,1
Upholstery,1
23,1
Casegoods,1
Upholstery,1
24,1
Casegoods,1
Upholstery,1
25,1
Casegoods,1
Upholstery,1
26,1
Casegoods,1
Upholstery,1
15A,1.2648024444444443
0,4.426803
Casegoods,4.426803
1,1.404588
Casegoods,1.404588
2,0.924506
Casegoods,0.924506
3,0.690217
Casegoods,0.690217
4,0.757102
Casegoods,0.757102
5,0.762509
Casegoods,0.762509
6,0.735196
Casegoods,0.735196
7,0.682301
Casegoods,0.682301
8,1
Casegoods,1
1A,14.768905199999997
0,124.148192
Casegoods,124.148192
1,1.02596
Casegoods,1.02596
2,2.903688
Casegoods,2.903688
3,1.5
Casegoods,1.5
4,8.530303
Casegoods,8.530303
5,3.330909
Casegoods,3.330909
6,3.25
Casegoods,3.25
7,1
Casegoods,1
8,1
Casegoods,1
9,1
Casegoods,1
5A,1.0184507777777776
0,3.208533
Casegoods,3.208533
1,1.233952
Casegoods,1.233952
2,0.945207
Casegoods,0.945207
3,0.624756
Casegoods,0.624756
4,0.530995
Casegoods,0.530995
5,0.533551
Casegoods,0.533551
6,0.511963
Casegoods,0.511963
7,0.5771
Casegoods,0.5771
8,1
Casegoods,1
C,1
11,1
Upholstery,1
12,1
Upholstery,1
13,1
Upholstery,1
14,1
Upholstery,1
15,1
Upholstery,1
16,1
Upholstery,1
17,1
Upholstery,1
18,1
Upholstery,1
19,1
Upholstery,1
20,1
Upholstery,1
21,1
Upholstery,1
22,1
Upholstery,1
23,1
Upholstery,1
24,1
Upholstery,1
25,1
Upholstery,1
26,1
Upholstery,1
ECA,1.0465992222222225
0,3.227097
Casegoods,3.227097
1,1.161378
Casegoods,1.161378
2,0.926946
Casegoods,0.926946
3,0.697387
Casegoods,0.697387
4,0.635792
Casegoods,0.635792
5,0.586577
Casegoods,0.586577
6,0.576608
Casegoods,0.576608
7,0.607608
Casegoods,0.607608
8,1
Casegoods,1
ECR,0.9065109074074074
0,0.9092895
Casegoods,0.913187
Upholstery,0.905392
1,0.993256
Casegoods,0.992599
Upholstery,0.993913
2,0.964735
Casegoods,0.974593
Upholstery,0.954877
3,0.9470995
Casegoods,0.983603
Upholstery,0.910596
4,0.9388875
Casegoods,0.968208
