AFIFinanceDivision,(Multiple Items),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIFinanceDivision,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average Units,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,41279,25806,25433,25207,26520,33510,26471,30959,26041,23406,26780,29649,33615,29769,24598,40627,30985,28935,27663,29068,28422,26626,26888,28066,27613,28966,752902,,9099,4827,11895.006,,5672.033,2262,1908.951,5095,13983.031,30036.11111111111,29373.1,29137.363636363636,29180,29521.153846153848,29538.85714285714,29209.466666666667,27383.875,28162.882352941175,28319.666666666668,28352.052631578947,28317.6
15 ,25732,15071,17092,17109,16107,20997,17970,16778,14780,16652,19535,21217,21175,17514,17474,18051,19271,18706,16908,18649,18003,17256,17138,17731,17920,18960,473796,,5854,31586,23328.5,21249.666666666668,20214.5,19393,19660.333333333332,19418.85714285714,19088.75,18610,18414.2,18516.090909090908,18741.166666666668,18928.384615384617,18827.35714285714,18737.133333333335,17566.0625,17594.58823529412,17687.722222222223,17741.315789473683,17699.65
17 ,30683,17858,18824,19098,18916,22615,22324,18743,18303,17823,19738,23206,25178,18344,20931,19729,21182,20755,19152,21965,19966,19546,19468,20074,20441,21206,536068,,10109.001,40792.001000000004,29325.000500000002,25824.667,24143.00025,23097.6002,23017.166833333333,22918.143,22396.250125,21941.444555555554,21529.6001,21366.727363636364,21520.000083333332,21801.384692307693,21554.428642857143,21512.866733333332,20168.3125625,20142.470647058824,20200.22227777778,20229.421105263158,20175.550049999998
28 ,16083,9842,11473,12313,10197,14685,13066,11067,13499,11856,12236,15510,16420,11206,12119,13517,12750,11900,10972,13324,12149,11966,11854,12046,11888,12323,326261,,,16083,12962.5,12466,12427.75,11981.6,12432.166666666666,12522.714285714286,12340.75,12469.444444444445,12408.1,12392.454545454546,12652.25,12942.076923076924,12818.07142857143,12771.466666666667,11973.25,12064.058823529413,12102.166666666666,12091.526315789473,12035.55
335,34965,19109,28189,19961,23519,22270,26852,22975,18568,18578,19643,21481,19688,18979,19606,17593,19145,19844,18221,19212,19529,19547,18868,19760,20320,20973,547395,,4270.009,39235.009,29172.0045,28844.336333333336,26623.50225,26002.6018,25380.5015,25590.71557142857,25263.751125,24519.778777777778,23925.600899999998,23536.273545454544,23365.000750000003,23082.15453846154,22789.072071428574,22576.867266666668,21165.8130625,20955.647588235297,20855.056055555557,20801.84257894737,20672.800450000002
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2183,2183,1091.5,727.6666666666666,545.75,436.6,363.8333333333333,311.85714285714283,272.875,242.55555555555554,218.3,198.45454545454547,181.91666666666666,167.92307692307693,155.92857142857142,145.53333333333333,136.4375,128.41176470588235,121.27777777777777,114.89473684210526,109.15
5  ,23260,18665,22512,18176,22647,22652,20329,23475,19350,18904,19962,21497,21539,21242,19951,19474,20460,19319,18203,20227,19924,19291,19269,19907,19851,20705,530791,,,23260,20962.5,21479,20653.25,21052,21318.666666666668,21177.285714285714,21464.5,21229.555555555555,20997,20902.909090909092,20952.416666666668,20997.53846153846,21015,20944.066666666666,19635.0625,19625.58823529412,19671.944444444445,19653.36842105263,19580.85
ECR,56053,33749,37875,35605,35153,44606,35738,34242,31844,33242,56179,39309,41214,38171,37855,39966,39755,36075,34939,38071,37680,36392,36649,37183,37748,38816,1004109,,6437,62490,48119.5,44704.666666666664,42429.75,40974.4,41579.666666666664,40745.142857142855,39932.25,39033.555555555555,38454.4,40065.72727272727,40002.666666666664,40095.846153846156,39958.357142857145,39818.13333333333,37329.5,37484.58823529412,37610.72222222222,37529.89473684211,37400.35
Grand Total,228055,140100,161398,147469,153059,181335,162750,158239,142385,140461,174073,171869,178829,155225,152534,168957,163548,155534,146058,160516,155673,150624,150134,154767,155781,161949,4171322,,14294.007,242349.007,191224.5035,181282.33566666665,172829.00175,168875.0014,170951.66783333334,169780.001,168337.375875,165453.77855555556,162954.5007,163965.27336363637,164623.91725,165716.61592307693,164967.2147857143,164138.33380000002,153879.6879375,154766.58864705884,155254.44483333334,155269.1582631579,154808.60035000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52246.017,52246.017,26123.0085,17415.339,13061.50425,10449.2034,8707.6695,7463.716714285714,6530.752125,5805.113,5224.6017,4749.6379090909095,4353.83475,4018.9243846153845,3731.858357142857,3483.0678,3265.3760625,3073.2951176470588,2902.5565,2749.790368421053,2612.30085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average ASP,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,307.5428668330144,309.59455165465397,323.7231549561593,301.9454913317729,316.83721719457014,296.8700835571471,319.0235918552378,303.54019832681934,312.02031412004146,315.00091856788856,315.2254107542943,320.6298188809066,314.9151866726164,305.98147401659446,319.45111391170013,308.75454746843235,320.8657576246571,311.24237083117333,325.98266637747173,313.29217696435944,315.2636513968053,315.7227146398257,316.4784476346326,317.12582840447516,313.8652989533915,313.1702168059104,313.25636669845477,,,307.5428668330144,308.5687092438342,313.62019114794253,310.70151619390015,311.9286563940342,309.418894254553,310.79099391179363,309.88464446367186,310.1219410921574,310.6098388397305,311.02943628650905,311.8294681693755,312.06683113116327,311.6321627658369,312.15342617556115,292.64383703958856,293.59152588834405,295.1067609848059,295.95600360829894,297.45733674675756
15 ,316.816551375719,314.7337933780108,314.20275567516967,320.62247939680867,309.3508722915503,293.7153640996333,317.8363661658319,317.2408511145548,315.0191813261164,309.13499879894306,317.17586383414385,315.80468492246786,304.72493506493504,319.0875299760192,313.55024607989014,314.5766439532436,325.5247262726376,329.06717096118894,317.6264194464159,315.55643734248486,317.19510637116036,318.18706536856746,317.0884875714786,316.77017652698663,317.5931919642857,321.84053270042193,315.6707686430447,,,316.816551375719,315.7751723768649,315.2510334762998,316.593894956427,315.1452904234517,311.57363603614857,312.4683117689605,313.0648791871598,313.2820238692661,312.8673213622338,313.2590070414983,313.47114686491244,312.7983613418373,313.2475876728503,313.2677648999862,293.6885295937371,294.9172422031198,296.6176579847597,298.3255270887823,299.29057170666397
17 ,335.56822996447545,334.84485944674657,345.3458882277943,348.95609487904494,341.84848805244235,314.4792615520672,335.16379233112343,338.992850664248,335.4539146587991,342.52948437412334,338.14066774749216,347.2947729035594,323.30649773611884,342.0811164413432,338.43015145000237,353.3752597698819,342.0949154942876,351.7584678390749,340.3078529657477,336.0052356020942,342.06288189922867,341.5476823902589,344.3345746866653,342.4929012653183,341.6868793111883,343.0320663963029,339.6813361364603,,,335.56822996447545,335.206544705611,338.58632587967213,341.17876812951533,341.31271211410075,336.8404703537619,336.6009449219564,336.89993313974287,336.739264419638,337.31828641508656,337.3930483543961,338.2181920668264,337.07113865677195,337.4289942128128,337.4957380286254,316.40225440183633,318.5771370705449,319.88368031630836,321.56130071224345,322.4986283249187
28 ,337.9665796182304,349.6278195488722,350.4195938289898,339.91444002274017,347.8900657055997,311.7653387810691,337.5297336598806,331.7136532032168,330.95744129194753,342.04348009446693,346.11915658711996,346.3840103159252,341.36324604141294,350.51302873460645,349.1595016090437,366.62032995487164,339.6073333333333,347.619537815126,351.11324279985416,343.6550960672471,350.6905095069553,351.3646581982283,352.0971402058377,359.7771044330068,352.50424798115745,352.87012091211557,344.9669467083102,,,337.9665796182304,343.79719958355133,346.0046643320308,344.4821082547081,345.16369974488646,339.5973062509169,339.3019387379117,338.35340304607485,337.53162951783844,337.98281457550127,338.72248203110297,339.36094272150484,339.51496605380544,340.30054195957695,340.8911392695414,319.585443065195,322.3522011175289,323.31081957396253,324.59022579718163,325.9163766473153
335,430.4878735878736,369.24477994662203,422.6357444393203,445.6037272681729,409.5281474552489,410.04113156713066,415.89071577536123,406.70829162132753,402.20858466178373,381.99469802992786,392.51478898335284,401.9563335040268,399.5654967492889,387.7203751514832,389.75086708150565,387.3897572898312,383.79861582658657,384.31347006651885,384.53037703748424,385.6082136164897,385.2518562138358,383.34235432547194,384.0752596989612,386.8406123481781,384.35479822834645,385.4094550135889,398.1995423779903,,,430.4878735878736,399.8663267672478,407.45613265793867,416.9930313104972,415.5000545394476,414.59023404406145,414.77601714853284,413.7675514576322,412.48322181364904,409.4343694352769,407.89622575782926,407.40123473667904,406.798485660726,405.43576348149435,404.39010372149517,379.1157222389017,379.60243018307403,379.8355516077136,380.07123152659807,380.2941888021424
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,344.31627257093726,346.57187248861504,332.4193985429993,342.4921599911972,341.7507837682695,312.23960356701394,354.47474051847115,334.4768903088392,352.7294573643411,338.6660495133305,350.86068530207393,352.67693166488345,334.1662333441664,331.9309387063365,347.54069971430005,363.31449625141215,338.3708944281525,341.22464930897047,341.70161511838705,345.60794977010926,344.2893997189319,343.36887667824374,345.29967823965956,345.03418395539256,343.273437106443,342.58215406906544,342.4433741340754,,,344.31627257093726,345.4440725297761,341.10251453418385,341.4499258984372,341.51009747240363,336.63168182150537,339.18069020678615,338.5927152195428,340.1634643467426,340.0137228634014,340.99981035782616,341.972903800081,341.37239068808753,340.69800126081964,341.1541811577183,319.83204483536093,322.38983609512866,323.27767266918556,324.222250387069,325.09621862363485
ECR,315.92473195011866,323.89495985066225,331.6513531353135,323.09582923746666,324.3622308195602,314.0458010133166,324.7724271084,316.34599322469484,330.6540949629443,326.9138890560135,318.48753982804965,328.1020504210232,319.6325399136216,323.6897120850908,332.51697265882973,324.898776459991,333.727606590366,326.99402633402633,326.6285812415925,325.09278716083105,327.20839968152865,327.4447955594636,331.76707413571995,326.77265148051526,326.44532160644275,328.05723155399835,324.9704369744719,,,315.92473195011866,319.90984590039045,323.8236816453648,323.64171854339025,323.7858209986242,322.1624843344063,322.5353333021197,321.76166579244153,322.74971347805297,323.166131035849,322.7408045624127,323.18757505063024,322.91411080932187,322.96951090044826,323.60600835100706,303.3806328290691,304.6464059838292,306.2620282397479,307.3531860341836,308.316955794554
Grand Total,339.16588542237616,332.6855103497502,347.4836057448048,342.91993910584597,340.8666363951156,319.95078170237406,344.2647281105991,333.5023192765374,338.60016855708113,334.94642641017793,334.0751408891672,341.84060825396085,330.0438267842464,332.8408986954421,339.69246856438565,337.5117959007321,338.3085974759704,338.2764733113017,338.1990373687165,334.7101161254953,337.07496804198547,337.3358993254727,338.89887034249404,338.50327589214754,336.88378557076925,337.79996789112624,337.08749600246637,,,339.16588542237616,335.9256978860632,339.77833383897706,340.5637351556943,340.6243154035786,337.1787264533778,338.19101240440943,337.60492576342546,337.7155082960539,337.4386001074663,337.13283108762096,337.5251458514826,336.9496597693875,336.6561768355342,336.8585962841243,315.80493401636653,317.0818082448586,318.26107431325374,319.3145163657826,320.2587424159293
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
