Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,AFIFinanceDivision,(Multiple Items),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,AFIFinanceDivision.1,(Multiple Items).1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,AFIFinanceDivision.2,(Multiple Items).2,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,,,,,,,,,,,,CG,,,,,,,,,,UPH,,,,,,,,,,,,,UPH,,,,,,,
Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,
Row Labels,1  ,15.0,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,,,,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total
2026-07-25 00:00:00,88538,64787.0,72313.0,42381.0,0.0,65272.0,92075,45741.0,471107,2026-07-25 00:00:00,61800,47198,52972.0,30570.0,0.0,46667.0,57143,28840.0,325190,2026-07-25 00:00:00,26738,17510,19341.0,11811.0,0.0,18551.0,34817,16901.0,145669,,,,2026-07-25 00:00:00,26738,17510,19341.0,11811.0,0.0,18551.0,34817,16901.0,145669
2026-08-01 00:00:00,86818,67027.0,75540.0,44838.0,0.0,66725.0,94183,46885.0,482016,2026-08-01 00:00:00,60431,49281,56365.0,32735.0,0.0,47840.0,58715,28468.0,333835,2026-08-01 00:00:00,26387,17667,19175.0,12103.0,0.0,18833.0,35363,18417.0,147945,,,,2026-08-01 00:00:00,26387,17667,19175.0,12103.0,0.0,18833.0,35363,18417.0,147945
2026-08-08 00:00:00,94521,66969.0,75606.0,42854.0,0.0,68041.0,94523,48887.0,491401,2026-08-08 00:00:00,66443,47977,55528.0,30101.0,0.0,47853.0,56567,30055.0,334524,2026-08-08 00:00:00,28078,18913,20078.0,12753.0,0.0,20132.0,37838,18832.0,156624,,,,2026-08-08 00:00:00,28078,18913,20078.0,12753.0,0.0,20132.0,37838,18832.0,156624
2026-08-15 00:00:00,91372,65446.0,71270.0,40853.0,0.0,66016.0,92468,48146.0,475571,2026-08-15 00:00:00,64354,47120,51506.0,28295.0,0.0,46629.0,55747,29469.0,323120,2026-08-15 00:00:00,27018,18248,19764.0,12558.0,0.0,19334.0,36609,18677.0,152208,,,,2026-08-15 00:00:00,27018,18248,19764.0,12558.0,0.0,19334.0,36609,18677.0,152208
2026-08-22 00:00:00,88450,65878.0,71894.0,43130.0,0.0,67064.0,92403,47063.0,475882,2026-08-22 00:00:00,61163,47687,52130.0,30715.0,0.0,47554.0,55935,29055.0,324239,2026-08-22 00:00:00,27287,18111,19764.0,12415.0,0.0,19455.0,36359,18008.0,151399,,,,2026-08-22 00:00:00,27287,18111,19764.0,12415.0,0.0,19455.0,36359,18008.0,151399
2026-08-29 00:00:00,91163,69788.0,75055.0,44353.0,0.0,70752.0,95502,50036.0,496649,2026-08-29 00:00:00,63009,50722,54459.0,31668.0,0.0,50593.0,57960,30442.0,338853,2026-08-29 00:00:00,28154,18977,20596.0,12685.0,0.0,20099.0,37414,19594.0,157519,,,,2026-08-29 00:00:00,28154,18977,20596.0,12685.0,0.0,20099.0,37414,19594.0,157519
Grand Total,2412600,1768771.0,1969536.0,1168377.0,0.0,1859776.0,2576125,1437611.0,13192796,Grand Total,1643808,1263751,1422928.0,829317.0,0.0,1322178.0,1566308,908983.0,8957273,Grand Total,768792,503636,546608.0,339060.0,0.0,536657.0,1007833,528628.0,4231214,,,,Grand Total,768792,503636,546608.0,339060.0,0.0,536657.0,1007833,528628.0,4231214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB FCST Volume Total ,1,15.0,17.0,28.0,42.0,5.0,ECR,335.0,Grant Total,OB FCST Volume Case,1,15,17.0,28.0,42.0,5.0,ECR,335.0,Grant Total,OB FCST Volume UPH,1,15,17.0,28.0,42.0,5.0,ECR,335.0,Grant Total,,,,,,,,,,,,,
