Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,15,,,,17,,,,28,,,,42,,,,5,,,,ECR,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
DATE,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2025-12-20 00:00:00,90954,18965584.39,5945,941601.55,48003,11293062.58,11364,1799778.3,61119.041,14646852.94,8643,1241683.33,31992.972,7880145.46,5859,859282.87,0,-77.65,0,0,53941.88,13221588.74,9842,1532250.99,89473.369,22528195.5,8603,1595629.99,375484.262,88535351.96,50256,7970227.03
2025-12-13 00:00:00,89335.998,19423195.84,5537,901565.17,59593,14665334.42,13409,2132935.85,66105.996,16165853.7,9125,1286149.54,36482.001,9499524.21,5569,805437.54,0,0,0,0,63081.95,16026846.36,10236,1602284.44,89022.422,22771502.8,10437,2032142.44,403621.367,98552257.33,54313,8760514.98
2025-12-06 00:00:00,91601,14517450.67,10633,1729357.83,65645,16146757.56,28125,5089834.47,66167.03,17219434.28,14377,2215661.96,42114.975,10665288.73,10116,1592496.41,0,-33.75,0,0,65024.734,16693252.95,22940,4035030.38,104895.414,26798941.99,16331,2981834,435448.153,102041092.4,102522,17644215.05
2025-11-29 00:00:00,86700.997,16289388.8,11790,2111662.19,53987,12868204.16,27048,4734097.1,50338.012,12581225.04,19093,3187779.13,30337.973,7687062.3,11648,1590121.41,0,-69.9,0,0,51552.861,12956448.67,18029,2997342.72,73179.376,18612748.5,17130,2908435.06,346096.219,80995007.57,104738,17529437.61
2025-11-22 00:00:00,100289,20634993.21,6535,1113819.85,64830,14874303.51,15975,2524286.65,68375.003,16499449.24,11651,1807853.42,42271.006,10210022.91,6312,940255.35,0,-24.57,0,0,70274.83,16668510.08,11906,1918283.66,97368.295,24449017.64,9147,1530530.92,443408.134,103336272,61526,9835029.85
2025-11-15 00:00:00,89017,18672288.84,6616,1060045.38,56805,13551634.02,14141,2255665.68,63491.021,14982870.56,10215,1558104.1,38654.966,9707432.29,5822,886281.18,0,-254.49,0,0,55805.897,13577999.85,11004,1724872.34,89819.452,22645960.37,8166,1318012.13,393593.336,93137931.44,55964,8802980.81
2025-11-08 00:00:00,90683,17308673.99,6840,1048666.99,56701,13389721.4,12861,2062007.12,65689.031,15292079.01,8415,1319775.22,34273.993,8441242.6,5644,836443.08,0,-148.09,0,0,54395.787,13321365.07,9435,1443984.91,88574.302,21915507.37,7443,1222803.54,390317.113,89668441.35,50638,7933680.86
2025-11-01 00:00:00,81054.997,16571842.48,5790,831091.71,63781,14659635.07,10109,1555091.88,53591.008,12475022.76,6862,1151712.53,33776.968,8225016.42,4745,688525.11,0,-134.9,0,0,57073.768,13439455.12,8592,1340560.46,87677.284,21851258.58,6773,1158698.47,376955.025,87222095.53,42871,6725680.16
2025-10-25 00:00:00,85221,13035041.87,5963,815536.81,54327,12570940.27,8871,1328139.21,61442.032,14698464.37,6958,1222692.27,34495.937,8704338.36,4759,717865.79,0,-51.6,0,0,59051.783,14450626.66,8656,1288721.13,88410.39,22994125.66,6829,1253010.31,382948.142,86453485.59,42036,6625965.52
2025-10-18 00:00:00,83356,15361238.04,5512,855542.32,59309,13582947.71,8594,1327444.27,60051.016,14112430.09,6462,1028631.12,37715.997,8842836.64,4887,701639.12,0,-94.62,0,0,57155.799,13968857.2,7959,1235595.89,82450.324,20105615.86,7231,1260432.9,380038.136,85973830.92,40645,6409285.62
